"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Модуль1","<описание фичи>","<описание сценария>","1","0","0","0","0"
"Модуль1","проверка таблчиной части заказа","<описание сценария>","0","0","1","0","0"
