"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 28 11:13:04 MSK 2024","Wed Feb 28 11:13:09 MSK 2024","5042","","<описание фичи>","","","","<описание сценария>",""
"passed","Wed Feb 28 11:13:00 MSK 2024","Wed Feb 28 11:13:03 MSK 2024","2327","","проверка таблчиной части заказа","","","","<описание сценария>",""
